Vardas                   Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6      Egz.
Vardas1                 Pavarde1                      9         1         9        10         8         7         5
Vardas2                 Pavarde2                      5         4         9         7         2         3         3
Vardas3                 Pavarde3                      5         5         6         5         8         4         3
Vardas4                 Pavarde4                      7         1         7         4         2         4         1
Vardas5                 Pavarde5                      1         8         2         6        10         4        10
Vardas6                 Pavarde6                      6         1         3         2         3         3         5
Vardas7                 Pavarde7                      1         8         7         4         8         2         8
Vardas8                 Pavarde8                      4         6         4         5         5        10         7
Vardas9                 Pavarde9                      8         1         9         3         1         7         5
Vardas10               Pavarde10                      2         3        10         9        10         6         2
Vardas11               Pavarde11                      3         5         1         9         5         5         3
Vardas12               Pavarde12                      6         9         7         8         9         6         3
Vardas13               Pavarde13                      7         6        10         6        10        10        10
Vardas14               Pavarde14                      1         9         3         9         5         1         3
Vardas15               Pavarde15                     10         5         3         7         9         9         3
Vardas16               Pavarde16                      2         8         5         2         2         6         2
Vardas17               Pavarde17                      3         8         4         2         6         6         5
Vardas18               Pavarde18                      7         5         2         9         5        10         9
Vardas19               Pavarde19                      7         6         9         1         3         3         4
Vardas20               Pavarde20                      3         5        10         3         7         3         5
Vardas21               Pavarde21                     10         4         5         5         8         3         9
Vardas22               Pavarde22                      3         7         2         2         4         2         8
Vardas23               Pavarde23                      7         6         9         1         4         9         4
Vardas24               Pavarde24                      9         9         7         3         9         9         1
Vardas25               Pavarde25                      5         5         9         6         9         5         2
Vardas26               Pavarde26                      6         7         7         4         3         7         6
Vardas27               Pavarde27                      1         5         9         1        10         3         6
Vardas28               Pavarde28                     10         6         8         8         6         4         2
Vardas29               Pavarde29                      6         2        10         7        10         8         8
Vardas30               Pavarde30                      3         4         5         1         4         1         6
Vardas31               Pavarde31                      1         3         7         9         9         8         3
Vardas32               Pavarde32                      6         9         1         4        10         1         7
Vardas33               Pavarde33                      6         3         1         2        10         8         8
Vardas34               Pavarde34                      2         7         2         4         6         2         7
Vardas35               Pavarde35                      3         8         4         8         7         3         1
Vardas36               Pavarde36                      6         8         2         4         3         8         3
Vardas37               Pavarde37                      8         5        10        10         7         7         6
Vardas38               Pavarde38                      6         5         9         4         8         9        10
Vardas39               Pavarde39                      7         3        10        10         9         4         3
Vardas40               Pavarde40                      5         1         1         8         9         4         5
Vardas41               Pavarde41                     10         2        10         8         2         7         9
Vardas42               Pavarde42                      8         6         3         1        10         7         6
Vardas43               Pavarde43                      1         3         5         7        10         1         3
Vardas44               Pavarde44                      2        10         6         6         2         9         8
Vardas45               Pavarde45                      3         2         7         2         7         4        10
Vardas46               Pavarde46                      9         3         9         8         2         4         6
Vardas47               Pavarde47                      9        10         3         3         4         8         5
Vardas48               Pavarde48                      4        10         8         6         5        10         6
Vardas49               Pavarde49                      8         8         9         6         5         1         7
Vardas50               Pavarde50                      8         9         1         2        10         7         8
Vardas51               Pavarde51                      2         4         9         3         2         6         2
Vardas52               Pavarde52                      1         1         2         1         7         8         9
Vardas53               Pavarde53                      6         6         1         7         2         8        10
Vardas54               Pavarde54                      9         9        10         3         5         3         1
Vardas55               Pavarde55                      2         9         5         4         1         7         3
Vardas56               Pavarde56                     10         6         7        10         2         1         6
Vardas57               Pavarde57                      6         6         9         5         3         1         4
Vardas58               Pavarde58                     10         4         2         1        10         9         1
Vardas59               Pavarde59                      4         8         7         6         3         9         8
Vardas60               Pavarde60                      4         9         3         7         1        10         8
Vardas61               Pavarde61                      9         8         7         3         9         8         3
Vardas62               Pavarde62                      3         1         1         7         7         5         2
Vardas63               Pavarde63                      8         9         1         1         6         9         9
Vardas64               Pavarde64                      6         1         8         6         9         3         9
Vardas65               Pavarde65                      9         1         7         1         5         2         2
Vardas66               Pavarde66                      3         1         8         5         4         2         3
Vardas67               Pavarde67                      2        10         4         2         3         7         4
Vardas68               Pavarde68                      5         7         5         9         8         5         9
Vardas69               Pavarde69                      6         3         8        10         2         5        10
Vardas70               Pavarde70                      9         2         4         4         6         1         8
Vardas71               Pavarde71                      1         7         8         3         4         3         6
Vardas72               Pavarde72                      6         6         2         1         2         7         8
Vardas73               Pavarde73                      4         5         5         6         5         9         4
Vardas74               Pavarde74                      2         8         5         7         3         7         8
Vardas75               Pavarde75                      2         4         7         2         6         2         6
Vardas76               Pavarde76                      5         4         4        10         3         1         9
Vardas77               Pavarde77                     10         8         8         9         4         7         5
Vardas78               Pavarde78                      7         1         8         2         8        10         1
Vardas79               Pavarde79                      4         2         8         6         3         7         2
Vardas80               Pavarde80                      7         4         7         6         1         1         3
Vardas81               Pavarde81                      4         7         5         4        10        10        10
Vardas82               Pavarde82                      7         7         5         9         3         7         8
Vardas83               Pavarde83                      9         9         6         2         1         3         1
Vardas84               Pavarde84                      7         1         7         5         5         6         6
Vardas85               Pavarde85                      4         9         6         9        10         8         9
Vardas86               Pavarde86                      8        10         6         3         4         9         7
Vardas87               Pavarde87                      6         5         1         9         8         9         4
Vardas88               Pavarde88                      2         2         5         3         9        10         3
Vardas89               Pavarde89                      6         7         3         9         9         6         3
